service,...2,Value,Percentage,service_long
DS_HDTS,4,4,56.6666666666667,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_ticketing_system
DS_HPC,1,1,11.3207547169811,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_High_performance_computing
DS_HPC,2,2,1.88679245283019,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_High_performance_computing
DS_HPC,3,3,28.3018867924528,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_High_performance_computing
DS_HPC,4,4,58.4905660377358,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_High_performance_computing
DS_ICDA,1,1,8.0188679245283,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_computing_decisions_that_affect_you
DS_ICDA,2,2,13.6792452830189,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_computing_decisions_that_affect_you
DS_ICDA,3,3,31.6037735849057,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_computing_decisions_that_affect_you
DS_ICDA,4,4,46.6981132075472,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_computing_decisions_that_affect_you
DS_IDS,1,1,8.87096774193548,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
DS_IDS,2,2,6.45161290322581,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
DS_IDS,3,3,24.1935483870968,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
DS_IDS,4,4,60.4838709677419,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
DS_ILDA,1,1,7.2463768115942,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_library_decisions_that_affect_you
DS_ILDA,2,2,15.9420289855072,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_library_decisions_that_affect_you
DS_ILDA,3,3,26.5700483091787,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_library_decisions_that_affect_you
DS_ILDA,4,4,50.2415458937198,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_library_decisions_that_affect_you
DS_IPFS,1,1,2.31481481481481,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Institutionally_provided_network_&_cloud_file_storage
DS_IPFS,2,2,3.7037037037037,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Institutionally_provided_network_&_cloud_file_storage
DS_IPFS,3,3,20.3703703703704,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Institutionally_provided_network_&_cloud_file_storage
DS_IPFS,4,4,73.6111111111111,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Institutionally_provided_network_&_cloud_file_storage
DS_ITS,1,1,1.5625,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Instructional_technology_support
DS_ITS,2,2,4.16666666666667,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Instructional_technology_support
DS_ITS,3,3,25.5208333333333,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Instructional_technology_support
DS_ITS,4,4,68.75,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Instructional_technology_support
DS_LDB,1,1,2.67857142857143,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_databases_(e.g._JSTOR__Electronic_Journals)
DS_LDB,2,2,11.1607142857143,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_databases_(e.g._JSTOR__Electronic_Journals)
DS_LDB,3,3,25.8928571428571,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_databases_(e.g._JSTOR__Electronic_Journals)
DS_LDB,4,4,60.2678571428571,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_databases_(e.g._JSTOR__Electronic_Journals)
DS_LDL,1,1,3.03030303030303,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_LibrarySearch_(go_primo)
DS_LDL,2,2,6.06060606060606,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_LibrarySearch_(go_primo)
DS_LDL,3,3,27.2727272727273,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_LibrarySearch_(go_primo)
DS_LDL,4,4,63.6363636363636,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_LibrarySearch_(go_primo)
DS_LIAC,1,1,4.6875,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_research_instruction_for_academic_courses
DS_LIAC,2,2,6.25,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_research_instruction_for_academic_courses
DS_LIAC,3,3,20.3125,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_research_instruction_for_academic_courses
DS_LIAC,4,4,68.75,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_research_instruction_for_academic_courses
DS_LSG,1,1,2.20588235294118,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_Subject_Guides_(go_guides)
DS_LSG,2,2,4.41176470588235,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_Subject_Guides_(go_guides)
DS_LSG,3,3,29.4117647058824,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_Subject_Guides_(go_guides)
DS_LSG,4,4,63.9705882352941,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_Subject_Guides_(go_guides)
DS_LSSR,1,1,5.26315789473684,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_scholarly_research
DS_LSSR,2,2,6.8421052631579,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_scholarly_research
DS_LSSR,3,3,22.6315789473684,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_scholarly_research
DS_LSSR,4,4,65.2631578947368,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_scholarly_research
DS_LSSSR,1,1,4.71698113207547,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_students'_scholarly_research
DS_LSSSR,2,2,3.77358490566038,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_students'_scholarly_research
DS_LSSSR,3,3,18.3962264150943,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_students'_scholarly_research
DS_LSSSR,4,4,73.1132075471698,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_students'_scholarly_research
DS_PWAC,1,1,3.6,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Performance_of_wireless_access_on_campus
DS_PWAC,2,2,12.4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Performance_of_wireless_access_on_campus
DS_PWAC,3,3,29.2,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Performance_of_wireless_access_on_campus
DS_PWAC,4,4,54.8,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Performance_of_wireless_access_on_campus
DS_RCTN,1,1,4.95495495495495,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Responsiveness_to_your_changing_information_technology_needs
DS_RCTN,2,2,5.85585585585586,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Responsiveness_to_your_changing_information_technology_needs
DS_RCTN,3,3,30.1801801801802,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Responsiveness_to_your_changing_information_technology_needs
DS_RCTN,4,4,59.009009009009,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Responsiveness_to_your_changing_information_technology_needs
DS_SDCP,1,1,2.46913580246914,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_when_you_have_a_desktop_laptop_computing_problem
DS_SDCP,2,2,9.05349794238683,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_when_you_have_a_desktop_laptop_computing_problem
DS_SDCP,3,3,27.1604938271605,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_when_you_have_a_desktop_laptop_computing_problem
DS_SDCP,4,4,61.3168724279835,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_when_you_have_a_desktop_laptop_computing_problem
DS_SGAIT,1,1,12.280701754386,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,2,2,21.0526315789474,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,3,3,31.578947368421,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,4,4,35.0877192982456,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SSCN,1,1,6.38297872340426,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_your_specialized_computing_needs
DS_SSCN,2,2,8.51063829787234,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_your_specialized_computing_needs
DS_SSCN,3,3,24.113475177305,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_your_specialized_computing_needs
DS_SSCN,4,4,60.9929078014184,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_your_specialized_computing_needs
DS_STMS,1,1,0.826446280991736,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_technology_in_meeting_spaces_classrooms
DS_STMS,2,2,4.54545454545455,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_technology_in_meeting_spaces_classrooms
DS_STMS,3,3,24.3801652892562,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_technology_in_meeting_spaces_classrooms
DS_STMS,4,4,70.2479338842975,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_technology_in_meeting_spaces_classrooms
DS_TMS,1,1,1.19047619047619,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_in_meeting_spaces_classrooms
DS_TMS,2,2,4.76190476190476,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_in_meeting_spaces_classrooms
DS_TMS,3,3,24.6031746031746,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_in_meeting_spaces_classrooms
DS_TMS,4,4,69.4444444444444,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_in_meeting_spaces_classrooms
DS_TRCTP,1,1,0.851063829787234,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_classroom_technology_problems
DS_TRCTP,2,2,5.95744680851064,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_classroom_technology_problems
DS_TRCTP,3,3,25.531914893617,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_classroom_technology_problems
DS_TRCTP,4,4,67.6595744680851,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_classroom_technology_problems
DS_TRDCP,1,1,2.9045643153527,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_desktop_laptop_computing_problems
DS_TRDCP,2,2,9.12863070539419,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_desktop_laptop_computing_problems
DS_TRDCP,3,3,29.045643153527,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_desktop_laptop_computing_problems
DS_TRDCP,4,4,58.9211618257261,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_desktop_laptop_computing_problems
IMP_DHDS,1,1,44.1558441558442,How_important_are_these_services_to_you?_-_Digital_Scholarship_Digital_Humanities_services
IMP_DHDS,2,2,22.9437229437229,How_important_are_these_services_to_you?_-_Digital_Scholarship_Digital_Humanities_services
IMP_DHDS,3,3,17.7489177489178,How_important_are_these_services_to_you?_-_Digital_Scholarship_Digital_Humanities_services
IMP_DHDS,4,4,15.1515151515152,How_important_are_these_services_to_you?_-_Digital_Scholarship_Digital_Humanities_services
IMP_IDS,1,1,38.3399209486166,How_important_are_these_services_to_you?_-_DLINQ_Instructional_Design_consultations_or_workshops
IMP_IDS,2,2,31.2252964426877,How_important_are_these_services_to_you?_-_DLINQ_Instructional_Design_consultations_or_workshops
IMP_IDS,3,3,19.7628458498024,How_important_are_these_services_to_you?_-_DLINQ_Instructional_Design_consultations_or_workshops
IMP_IDS,4,4,10.6719367588933,How_important_are_these_services_to_you?_-_DLINQ_Instructional_Design_consultations_or_workshops
USE_DSDH,1,1,78.9285714285714,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Digital_Scholarship_Digital_Humanities_services
USE_DSDH,2,2,14.2857142857143,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Digital_Scholarship_Digital_Humanities_services
USE_DSDH,3,3,4.64285714285714,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Digital_Scholarship_Digital_Humanities_services
USE_DSDH,4,4,1.42857142857143,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Digital_Scholarship_Digital_Humanities_services
USE_DSDH,5,5,0.714285714285714,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Digital_Scholarship_Digital_Humanities_services
USE_IDS,1,1,66.1870503597122,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
USE_IDS,2,2,30.5755395683453,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
USE_IDS,3,3,2.87769784172662,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
USE_IDS,4,4,0.359712230215827,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
