Question.Type,service,average,sum,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informed,Available library services,2.6,167,65,2,3,2,2,2,2,4,3,1,3,3,3,2,3,2,3,3,2,3,2,3,3,2,,2,2,2,2,4,2,4,3,4,3,3,1,3,2,2,2,3,3,3,2,2,4,2,1,2,3,4,1,2,3,3,2,3,3,3,2,2,3,3,3,3,3,,,,,,,,,,
Informed,Available technology services,2.5,167,66,2,3,2,2,2,2,4,2,2,3,3,3,2,3,2,2,3,2,3,2,3,4,2,3,2,2,2,3,4,2,4,4,1,3,2,2,3,2,2,2,3,3,3,2,3,2,2,3,3,3,4,1,2,3,2,2,2,2,2,2,3,4,2,3,2,3,,,,,,,,,,
Informed,Copyright and Fair Use,2.1,135,65,2,3,1,1,2,1,4,3,1,2,3,2,1,3,2,2,2,2,3,2,2,1,2,,2,2,2,1,4,1,4,2,2,3,2,1,2,2,2,2,2,2,3,2,2,2,1,1,3,3,3,1,1,2,3,2,1,2,2,3,1,3,3,2,1,3,,,,,,,,,,
Informed,"Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",2.3,154,66,2,2,2,4,2,1,4,1,1,2,3,2,2,3,2,1,3,3,3,2,3,4,2,3,2,2,2,1,4,1,1,2,3,3,4,2,2,3,2,2,4,3,1,2,2,1,2,1,3,3,3,2,2,3,2,2,2,2,2,3,2,3,2,3,3,3,,,,,,,,,,
Informed,How to request materials be added to the library collection,2.6,165,64,3,2,1,4,2,3,4,3,3,2,3,2,1,3,3,2,3,2,3,2,4,4,3,,2,2,3,1,4,2,4,2,4,3,2,2,3,1,2,3,3,2,3,2,2,4,2,1,3,3,,1,1,3,3,2,2,4,2,2,2,4,3,2,3,4,,,,,,,,,,
Informed,Who to contact for your copyright and Fair Use needs,2.0,128,64,2,2,1,1,2,1,4,2,1,1,3,1,1,2,3,3,3,2,3,2,1,2,3,,2,2,1,1,1,1,4,2,4,3,2,1,2,1,1,3,1,2,3,2,2,4,1,1,3,3,,1,1,3,2,2,1,2,2,3,1,3,3,1,1,3,,,,,,,,,,
Informed,Who to contact for your library needs,2.6,167,64,2,2,2,4,2,3,4,3,2,3,3,3,1,3,3,3,3,2,3,2,3,2,3,,2,2,2,1,4,2,4,3,4,3,2,2,3,1,3,3,2,2,3,2,2,4,3,1,3,3,,1,2,3,3,2,3,3,3,3,1,3,3,3,3,4,,,,,,,,,,
Learning Method,One-on-one instruction,2.6,161,62,3,4,1,1,2,2,3,1,2,3,3,3,3,2,2,4,,3,3,3,4,2,4,,3,3,4,2,4,3,1,1,1,4,4,4,3,1,1,3,3,3,3,2,1,4,3,1,1,3,4,3,3,1,1,4,,3,4,1,,3,4,2,2,2,,,,,,,,,,
Learning Method,Peer group learning,2.4,149,61,2,4,3,1,2,1,4,3,2,3,2,3,2,3,3,4,,3,3,,4,3,4,,1,3,2,2,2,2,1,2,3,1,4,3,3,1,3,3,3,2,3,2,1,4,3,1,4,3,3,3,1,1,4,1,,3,2,1,,3,2,1,2,1,,,,,,,,,,
Learning Method,Self-directed with documentation,2.5,160,63,2,1,1,3,2,3,4,3,2,3,2,2,3,2,2,1,,3,4,3,3,3,4,,2,3,2,2,2,3,1,3,3,2,4,2,3,2,3,3,4,2,3,2,1,4,3,1,2,2,1,2,2,1,4,4,2,3,1,4,,3,4,2,4,3,,,,,,,,,,
Learning Method,Self-directed with online tutorial,2.7,167,63,2,1,3,4,2,3,4,2,2,3,2,2,3,1,2,1,,3,4,3,3,3,4,,2,3,2,2,2,3,1,3,3,4,4,3,4,2,3,3,4,2,3,2,3,3,3,1,2,2,1,2,2,1,4,4,2,3,1,4,,3,4,3,4,3,,,,,,,,,,
Learning Method,Trial and error,2.2,129,60,2,1,1,1,2,2,1,1,2,1,2,2,2,1,3,3,,3,3,1,2,2,3,,2,3,1,2,4,3,1,3,3,1,4,2,2,3,2,,4,2,3,2,,3,3,1,3,1,1,1,2,1,1,4,,3,1,4,,3,4,1,2,2,,,,,,,,,,
Learning Method,Workshop/Training Session,2.7,170,63,3,4,3,1,2,1,4,3,2,3,3,4,3,3,3,4,,3,3,3,4,4,4,,1,3,4,2,2,3,1,2,1,1,4,4,3,1,4,2,4,3,3,2,2,4,3,3,4,3,3,3,1,1,3,2,2,3,3,1,,3,2,3,2,2,,,,,,,,,,
Reference Staff,Friendly,4.0,210,53,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,,4,,4,,4,,4,4,4,,,,4,4,,4,4,4,4,3,4,4,4,,4,4,4,4,4,4,4,3,,4,4,4,,4,4,4,4,4,,,,,,,,,,
Reference Staff,Knowledgeable,3.8,202,53,4,4,4,4,4,3,4,,4,3,4,3,4,4,4,4,4,4,4,,4,4,2,,4,,4,,4,,4,4,4,,,,3,4,,4,4,3,4,3,4,4,4,,4,4,4,4,4,4,4,3,,4,4,4,,4,4,3,4,4,,,,,,,,,,
Reference Staff,Reliable,3.9,204,52,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,,4,,4,,4,,4,4,4,,,,4,4,,4,4,3,4,3,4,4,4,,4,4,4,4,4,,4,3,,4,4,4,,4,4,3,4,4,,,,,,,,,,
Reference Staff,Responsive,3.9,208,53,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,,4,4,3,,4,,4,,4,,4,4,4,,,,4,4,,4,4,3,4,3,4,4,4,,4,4,4,4,4,4,4,3,,4,4,4,,4,4,4,4,4,,,,,,,,,,
Satisfaction,Access to online resources from off-campus,3.6,206,58,3,,4,3,3,4,4,4,3,4,4,3,4,3,2,4,3,4,4,4,3,3,3,,3,4,4,,4,4,3,3,4,4,,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,,,,4,4,,3,3,3,3,3,4,2,3,4,,,,,,,,,,
Satisfaction,Copyright and Fair Use support,3.4,94,28,3,,4,,,,,,,4,,,,4,4,4,3,,4,,1,,2,,2,4,2,,,,3,,4,,,,,4,4,4,,4,4,3,,3,,,4,4,,,,,,,,3,,4,,3,,,,,2,,,,,,,,,
Satisfaction,"Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes",3.2,137,43,2,,3,3,,,4,3,,3,4,,,4,2,1,3,,4,,3,4,2,,1,4,3,,4,,3,3,,4,,3,3,4,3,4,4,4,,3,,,4,,,3,4,4,2,,,4,,,,3,3,3,4,2,4,2,,,,,,,,,,
Satisfaction,High performance computing,3.3,95,29,3,,4,,,,,,2,4,,4,,,,,3,,4,,,,1,,2,4,,,,,3,,,3,,3,,4,,,,4,4,3,,3,,4,4,,4,,,,,4,,,2,4,,3,4,3,3,,2,,,,,,,,,
